11, 4, 66685891346784304, 700, 213, 22-NOV-12, CREDIT
9, 2, 28513221458231700, 110, 181, 15-FEB-12, CREDIT
5, 1, 92510294876149904, 308, 150, 21-APR-12, CHECK
9, 3, 70836229258965104, 130, 19, 18-MAR-12, CHECK
6, 2, 16118554875769200, 150, 179, 16-JUN-12, CHECK
13, 4, 54886235723176896, 118, 97, 25-SEP-12, CREDIT
8, 2, 26271275419424100, 284, 56, 11-MAY-12, CHECK
14, 1, 81054938594661200, 430, 88, 20-JUL-12, CREDIT
11, 4, 16386684091714400, 475, 175, 22-DEC-12, CREDIT
7, 2, 35742348104784600, 279, 241, 13-AUG-12, CASH
12, 1, 1363701065138800, 447, 16, 11-AUG-12, CASH
5, 4, 28291943387951000, 700, 95, 23-OCT-12, CHECK
10, 3, 8241497742653250, 116, 39, 22-FEB-12, CREDIT
15, 3, 26271275419424100, 190, 187, 22-MAY-12, CASH
10, 1, 17421998355166100, 536, 22, 15-OCT-12, CASH
8, 4, 83360534273062304, 238, 263, 26-SEP-12, CASH
9, 3, 42561997788525200, 540, 249, 25-JUL-12, CASH
10, 2, 92899839188270800, 619, 198, 13-JUL-12, CREDIT
9, 4, 96434962215646496, 408, 97, 26-JUL-12, CASH
12, 3, 68002600064590096, 520, 126, 20-JAN-12, CASH
5, 3, 43717289637117904, 674, 43, 21-JUN-12, CASH
5, 3, 83498531664303504, 114, 137, 22-SEP-12, CHECK
5, 1, 97853515047935504, 275, 76, 12-APR-12, CREDIT
6, 1, 8027669998379880, 620, 226, 12-OCT-12, CREDIT
14, 4, 45161723819644096, 551, 233, 26-NOV-12, CHECK
8, 4, 94944511049849792, 164, 209, 22-MAR-12, CHECK
15, 2, 3072024058973990, 336, 89, 19-APR-12, CHECK
2, 1, 46452510275544496, 250, 136, 16-NOV-12, CHECK
5, 3, 56581855235082304, 700, 107, 17-JUN-12, CREDIT
3, 3, 69821473818609400, 500, 161, 16-FEB-12, CASH
11, 3, 27851323718389500, 116, 151, 27-MAY-12, CREDIT
9, 2, 95351650117892192, 284, 250, 17-JUN-12, CHECK
7, 4, 98653721423684000, 533, 16, 23-DEC-12, CHECK
9, 3, 7405923483632550, 680, 79, 20-SEP-12, CASH
15, 2, 69495387058987000, 551, 83, 22-NOV-12, CHECK
14, 3, 66662940526078000, 278, 222, 16-MAR-12, CASH
13, 4, 3473610285283300, 308, 54, 19-MAR-12, CHECK
1, 4, 33064248063888600, 638, 221, 17-APR-12, CHECK
14, 1, 83389719867578592, 434, 17, 24-JUL-12, CASH
11, 1, 78093058674591296, 120, 229, 21-FEB-12, CREDIT
9, 3, 47847681692426304, 202, 130, 16-NOV-12, CHECK
4, 1, 44974352008748400, 700, 80, 23-APR-12, CREDIT
11, 2, 36578778432483104, 170, 82, 10-APR-12, CHECK
2, 1, 50122743818980096, 116, 48, 20-NOV-12, CREDIT
5, 2, 37140837435255200, 637, 187, 14-JUN-12, CHECK
12, 2, 39868843659186600, 325, 53, 22-SEP-12, CREDIT
5, 1, 53894675567498896, 109, 43, 15-FEB-12, CREDIT
3, 4, 34299357116400900, 202, 242, 12-NOV-12, CHECK
14, 3, 39681566964424896, 197, 237, 16-MAY-12, CHECK
11, 2, 86530883654702896, 155, 97, 26-NOV-12, CREDIT
11, 3, 94852239098419200, 164, 79, 26-NOV-12, CHECK
12, 2, 49700266886848496, 408, 106, 22-JAN-12, CASH
6, 3, 77767738449331296, 617, 62, 22-NOV-12, CREDIT
3, 2, 24435320441142800, 108, 24, 11-NOV-12, CASH
12, 2, 68407024368674800, 434, 239, 21-DEC-12, CHECK
7, 3, 19170026054182400, 638, 131, 18-SEP-12, CHECK
2, 4, 6394862789589250, 102, 19, 12-NOV-12, CASH
5, 2, 12596625724746000, 434, 236, 13-JUL-12, CREDIT
15, 3, 39002353786911200, 197, 68, 15-JAN-12, CHECK
1, 1, 81639797355152704, 253, 160, 25-NOV-12, CREDIT
12, 1, 51722979674893696, 120, 227, 13-OCT-12, CREDIT
15, 3, 77275527071912992, 630, 175, 26-JAN-12, CASH
5, 2, 675629806136385, 431, 174, 16-JAN-12, CASH
8, 1, 98552482536486896, 553, 203, 22-NOV-12, CASH
6, 4, 51040970499544800, 545, 129, 24-AUG-12, CHECK
7, 1, 76051265960550000, 700, 51, 22-APR-12, CHECK
10, 1, 78937633660311200, 700, 228, 25-JUN-12, CASH
3, 2, 23742204233446700, 431, 126, 22-MAY-12, CREDIT
2, 2, 53405318808602000, 108, 203, 25-FEB-12, CASH
7, 1, 89629452259877696, 166, 241, 24-MAR-12, CHECK
8, 3, 51042631971900200, 197, 82, 14-AUG-12, CASH
3, 2, 73120677397676192, 619, 98, 19-MAR-12, CASH
3, 4, 79087401308279392, 475, 20, 12-JAN-12, CASH
13, 2, 30793165803674100, 553, 181, 15-JAN-12, CREDIT
15, 2, 82105315812667104, 215, 215, 20-MAR-12, CREDIT
6, 1, 76629269393064400, 511, 74, 19-MAY-12, CREDIT
11, 1, 52583152897585904, 325, 225, 15-MAR-12, CREDIT
13, 4, 37420050097785600, 638, 256, 18-JUL-12, CASH
15, 2, 20636561738872900, 518, 167, 16-NOV-12, CASH
9, 2, 78342449038102800, 125, 91, 12-MAR-12, CREDIT
12, 1, 55050063989773800, 447, 217, 14-APR-12, CASH
4, 1, 49784068834740896, 512, 152, 13-DEC-12, CREDIT
8, 2, 52329489876262096, 412, 24, 25-SEP-12, CASH
13, 4, 98687599700457200, 700, 159, 22-APR-12, CHECK
12, 1, 44995743924666096, 655, 233, 20-JAN-12, CASH
2, 3, 81697552535495200, 135, 103, 10-DEC-12, CHECK
11, 2, 55109098501199000, 130, 46, 18-AUG-12, CHECK
6, 2, 68787427580349400, 412, 104, 11-NOV-12, CHECK
9, 2, 68251748894475000, 114, 32, 27-SEP-12, CASH
5, 2, 28279256027983100, 300, 193, 10-OCT-12, CHECK
8, 3, 62541359956853000, 163, 97, 20-JUL-12, CREDIT
1, 1, 48256207393694200, 250, 55, 26-JUL-12, CHECK
5, 3, 64671910887010400, 102, 30, 26-JAN-12, CHECK
6, 4, 32693755623267800, 277, 249, 22-JUL-12, CREDIT
14, 3, 74891565400624000, 435, 115, 24-MAY-12, CASH
15, 1, 35742348104784600, 164, 21, 16-MAR-12, CHECK
8, 1, 40093131976809400, 114, 230, 19-JAN-12, CHECK
2, 2, 15236672633310000, 500, 41, 23-APR-12, CHECK
8, 3, 49956304913672800, 655, 220, 15-DEC-12, CREDIT
15, 1, 9883354633214820, 570, 43, 14-JAN-12, CREDIT
3, 1, 47495701104732896, 431, 145, 20-DEC-12, CREDIT
15, 3, 81639797355152704, 250, 71, 26-NOV-12, CHECK
7, 2, 11958672835989900, 125, 204, 25-APR-12, CHECK
5, 2, 51468324442223104, 326, 227, 21-APR-12, CHECK
12, 1, 90680479794054496, 197, 245, 13-MAR-12, CREDIT
8, 2, 36509009985563504, 326, 73, 13-SEP-12, CHECK
15, 2, 89749740727391600, 109, 193, 19-AUG-12, CREDIT
12, 1, 75309219170945104, 619, 222, 17-FEB-12, CASH
5, 4, 29288253084047700, 116, 50, 22-JAN-12, CREDIT
3, 3, 19435929438680400, 326, 204, 24-JUN-12, CASH
4, 2, 4129209197706730, 431, 33, 11-APR-12, CHECK
1, 2, 81387773962809408, 674, 175, 14-AUG-12, CASH
10, 2, 10804684939236300, 100, 163, 27-SEP-12, CASH
12, 1, 42058598105977904, 435, 177, 20-MAR-12, CREDIT
5, 3, 17411156527141200, 553, 111, 20-MAR-12, CASH
10, 1, 24969318204480200, 700, 84, 21-JUN-12, CASH
11, 3, 85343233884485104, 679, 191, 25-NOV-12, CREDIT
4, 3, 91885361859909792, 675, 164, 17-DEC-12, CHECK
1, 4, 43855171921624000, 516, 60, 24-MAR-12, CHECK
14, 4, 83309683852680096, 540, 117, 14-FEB-12, CASH
7, 4, 56316724474115000, 109, 229, 16-JUL-12, CHECK
2, 1, 77767738449331296, 320, 33, 24-JUN-12, CHECK
4, 2, 34563526745289900, 570, 232, 24-MAR-12, CREDIT
3, 1, 19857017537510200, 540, 253, 18-JUN-12, CHECK
12, 3, 1014539156935710, 679, 245, 22-MAR-12, CASH
7, 3, 68746397951446800, 197, 26, 11-FEB-12, CASH
5, 1, 83309683852680096, 516, 164, 12-SEP-12, CASH
5, 4, 13382569757965600, 511, 246, 11-APR-12, CREDIT
10, 4, 26033399081981900, 160, 56, 25-JAN-12, CASH
14, 2, 26505832970152500, 680, 137, 18-DEC-12, CASH
2, 2, 3523617885331380, 536, 31, 20-NOV-12, CASH
8, 4, 9279132275329410, 319, 45, 15-AUG-12, CHECK
13, 1, 5663620386252740, 536, 255, 13-FEB-12, CASH
2, 2, 60894945038128096, 617, 166, 25-NOV-12, CREDIT
